repo,name,version,appVersion,updatedAt
main,ambassador,6.5.3,1.7.0,2020-08-27T09:10:13.000Z
main,redis,10.7.17,6.0.6,2020-08-28T02:10:54.000Z
main,ingress-nginx,2.13.0,0.35.0,2020-08-28T06:33:55.000Z
main,redis,10.8.0,6.0.6,2020-09-01T05:33:43.000Z
main,ingress-nginx,2.14.0,0.35.0,2020-09-01T07:11:34.000Z
main,ingress-nginx,2.15.0,0.35.0,2020-09-01T11:11:07.000Z
main,redis,10.8.1,6.0.7,2020-09-01T17:33:40.000Z
main,cert-manager,v1.0.0,v1.0.0,2020-09-02T02:11:25.000Z
main,longhorn,1.0.2,v1.0.2,2020-09-03T15:32:50.000Z
main,traefik,9.1.1,2.2.8,2020-09-04T07:11:21.000Z
main,cert-manager,v1.0.1,v1.0.1,2020-09-04T11:33:55.000Z
main,ambassador,6.5.4,1.7.1,2020-09-08T08:12:12.000Z
main,kubernetes-dashboard,2.5.0,2.0.3,2020-09-08T10:12:16.000Z
main,metallb,0.1.22,0.9.3,2020-09-08T13:34:00.000Z
main,metallb,0.1.23,0.9.3,2020-09-09T07:11:44.000Z
main,kubernetes-dashboard,2.6.0,2.0.3,2020-09-10T04:16:18.000Z
main,redis,10.8.2,6.0.8,2020-09-11T01:34:08.000Z
main,ingress-nginx,2.16.0,0.35.0,2020-09-11T06:12:56.000Z
main,seaweedfs,1.96,,2020-09-11T09:07:26.000Z
main,seaweedfs,1.97,,2020-09-11T13:11:22.000Z
main,seaweedfs,1.98,,2020-09-12T03:33:33.000Z
main,seaweedfs,1.99,,2020-09-12T13:10:59.000Z
main,cockroachdb,4.1.6,20.1.5,2020-09-16T13:06:05.000Z
main,hazelcast,3.4.9,4.0.2,2020-09-16T13:06:05.000Z
main,yugabyte,2.3.0,2.3.0.0-b176,2020-09-16T13:06:05.000Z
main,seaweedfs,2.00,,2020-09-20T00:12:11.000Z
main,seaweedfs,2.01,,2020-09-27T23:12:34.000Z
main,seaweedfs,2.02,,2020-10-01T06:33:56.000Z
main,seaweedfs,2.03,,2020-10-04T21:12:16.000Z
main,seaweedfs,2.04,,2020-10-11T20:35:42.000Z
main,seaweedfs,2.05,,2020-10-17T02:14:22.000Z
main,openebs,2.2.0,2.2.0,2020-10-24T23:14:57.000Z
main,seaweedfs,2.06,,2020-10-25T12:14:47.000Z
main,seaweedfs,2.07,,2020-10-25T21:14:05.000Z
main,wiki,2.1.0,,2020-10-25T23:52:34.000Z
main,seaweedfs,2.08,,2020-11-01T13:08:16.000Z
main,seaweedfs,2.09,,2020-11-08T22:20:07.000Z
main,seaweedfs,2.10,,2020-11-10T23:33:37.000Z
main,seaweedfs,2.11,,2020-11-15T20:33:31.000Z
main,ambassador,6.5.12,1.9.0,2020-11-16T23:10:42.000Z
main,cert-manager,v1.0.4,v1.0.4,2020-11-16T23:10:42.000Z
main,cockroachdb,5.0.0,20.2.0,2020-11-16T23:10:42.000Z
main,consul,0.26.0,1.8.5,2020-11-16T23:10:42.000Z
main,harbor,1.5.1,2.1.1,2020-11-16T23:10:42.000Z
main,hazelcast,3.5.0,4.1,2020-11-16T23:10:42.000Z
main,ingress-nginx,3.10.1,0.41.2,2020-11-16T23:10:42.000Z
main,kube-prometheus,3.0.0,0.43.2,2020-11-16T23:10:42.000Z
main,kubernetes-dashboard,2.8.2,2.0.4,2020-11-16T23:10:42.000Z
main,linkerd2-cni,2.9.0,stable-2.9.0,2020-11-16T23:10:42.000Z
main,linkerd2,2.9.0,stable-2.9.0,2020-11-16T23:10:42.000Z
main,metallb,1.0.1,0.9.5,2020-11-16T23:10:42.000Z
main,minio,8.0.3,master,2020-11-16T23:10:42.000Z
main,openebs,2.3.0,2.3.0,2020-11-16T23:10:42.000Z
main,redis,12.0.0,6.0.9,2020-11-16T23:10:42.000Z
main,vault,0.8.0,1.5.4,2020-11-16T23:10:42.000Z
main,yugabyte,2.3.3,2.3.3.0-b106,2020-11-16T23:10:42.000Z
main,gitea,2.0.3,1.12.6,2020-11-17T07:05:45.000Z
main,redis,12.0.1,6.0.9,2020-11-17T11:40:27.000Z
main,kube-prometheus,3.0.1,0.43.2,2020-11-17T12:20:40.000Z
main,kubernetes-dashboard,2.8.3,2.0.4,2020-11-18T02:12:30.000Z
main,rancher,2.5.2,v2.5.2,2020-11-18T06:06:00.000Z
main,redis,12.1.0,6.0.9,2020-11-18T10:42:04.000Z
main,redis,12.1.1,6.0.9,2020-11-19T06:37:04.000Z
main,ingress-nginx,3.11.0,0.41.2,2020-11-19T12:38:05.000Z
main,ambassador,6.5.13,1.9.1,2020-11-19T15:33:44.000Z
main,kubernetes-dashboard,3.0.0,2.0.4,2020-11-20T05:33:50.000Z
main,minio,8.0.5,master,2020-11-22T14:34:03.000Z
main,seaweedfs,2.12,,2020-11-22T17:40:58.000Z
main,cockroachdb,5.0.1,20.2.1,2020-11-23T12:15:20.000Z
main,ingress-nginx,3.11.1,0.41.2,2020-11-24T07:11:27.000Z
main,cert-manager,v1.1.0,v1.1.0,2020-11-24T08:53:03.000Z
main,ingress-nginx,3.12.0,0.41.2,2020-11-24T14:35:48.000Z
main,gitea,2.0.4,1.12.6,2020-11-24T15:15:40.000Z
main,gitea,2.0.5,1.12.6,2020-11-25T07:39:09.000Z
main,kube-prometheus,3.1.0,0.43.2,2020-11-25T08:18:39.000Z
main,consul,0.27.0,1.9.0,2020-11-25T16:32:18.000Z
main,kube-prometheus,3.1.1,0.43.2,2020-11-25T16:32:18.000Z
main,gitea,2.0.6,1.12.6,2020-11-25T18:13:38.000Z
main,gitea,2.0.7,1.12.6,2020-11-26T01:42:55.000Z
main,seaweedfs,2.13,,2020-11-29T17:29:04.000Z
main,rancher,2.5.3,v2.5.3,2020-11-30T14:14:03.000Z
main,cockroachdb,5.0.2,20.2.2,2020-12-01T07:19:22.000Z
main,openebs,2.3.1,2.3.1,2020-12-03T03:18:07.000Z
main,kube-prometheus,3.1.2,0.43.2,2020-12-03T06:22:27.000Z
main,kube-prometheus,3.2.0,0.44.0,2020-12-04T09:45:44.000Z
main,minio,8.0.6,master,2020-12-04T15:12:55.000Z
main,ingress-nginx,3.13.0,0.41.2,2020-12-04T15:44:49.000Z
main,gitea,2.1.0,1.13.0,2020-12-06T16:43:57.000Z
main,seaweedfs,2.14,,2020-12-06T19:14:03.000Z
main,redis,12.1.2,6.0.9,2020-12-07T03:44:33.000Z
main,kubernetes-dashboard,3.0.1,2.0.5,2020-12-08T03:22:17.000Z
main,kube-prometheus,3.3.0,0.44.0,2020-12-08T05:19:16.000Z
main,redis,12.1.3,6.0.9,2020-12-08T11:37:27.000Z
main,minio,8.0.7,master,2020-12-08T15:13:36.000Z
main,ingress-nginx,3.15.2,0.41.2,2020-12-09T03:16:43.000Z
main,kube-prometheus,3.3.1,0.44.1,2020-12-09T17:46:33.000Z
main,redis,12.2.0,6.0.9,2020-12-10T01:17:03.000Z
main,gitea,2.1.1,1.13.0,2020-12-10T01:50:47.000Z
main,redis,12.2.1,6.0.9,2020-12-10T04:24:06.000Z
main,linkerd2-cni,2.9.1,stable-2.9.1,2020-12-10T13:13:49.000Z
main,linkerd2,2.9.1,stable-2.9.1,2020-12-10T13:13:49.000Z
main,yugabyte,2.5.0,2.5.0.0-b2,2020-12-10T15:13:44.000Z
main,metallb,1.0.2,0.9.5,2020-12-11T00:53:07.000Z
main,kubernetes-dashboard,3.0.2,2.1.0,2020-12-11T04:18:02.000Z
main,kube-prometheus,3.3.2,0.44.1,2020-12-11T05:46:23.000Z
main,minio,8.0.8,master,2020-12-11T09:12:57.000Z
main,hazelcast,3.5.1,4.1,2020-12-14T02:44:58.000Z
main,seaweedfs,2.14,,2020-12-14T02:44:58.000Z
main,redis,12.2.2,6.0.9,2020-12-14T13:13:29.000Z
main,cockroachdb,5.0.3,20.2.3,2020-12-14T14:48:51.000Z
main,gitea,2.1.2,1.13.0,2020-12-15T05:39:11.000Z
main,openebs,2.4.0,2.4.0,2020-12-15T09:14:53.000Z
main,openebs,2.4.1,2.4.0,2020-12-15T23:43:29.000Z
main,gitea,2.1.3,1.13.0,2020-12-16T05:15:34.000Z
main,harbor,1.5.2,2.1.2,2020-12-16T22:47:50.000Z
main,metallb,1.1.0,0.9.5,2020-12-16T23:15:04.000Z
main,redis,12.2.3,6.0.9,2020-12-17T00:17:13.000Z
main,openebs,2.4.2,2.4.0,2020-12-17T05:41:32.000Z
main,metallb,2.0.0,0.9.5,2020-12-18T07:24:48.000Z
main,yugabyte,2.5.1,2.5.1.0-b153,2020-12-18T12:17:26.000Z
main,consul,0.28.0,1.9.1,2020-12-21T12:43:15.000Z
main,ingress-nginx,3.16.1,0.41.2,2020-12-21T12:43:15.000Z
main,seaweedfs,2.14,,2020-12-21T12:43:15.000Z
main,redis,12.2.4,6.0.9,2020-12-22T14:54:24.000Z
main,metallb,2.0.1,0.9.5,2020-12-22T15:22:01.000Z
main,ingress-nginx,3.17.0,0.42.0,2020-12-24T11:27:31.000Z
main,gitea,2.1.4,1.13.0,2020-12-27T11:47:48.000Z
main,seaweedfs,2.14,,2020-12-27T11:47:49.000Z
main,metallb,2.0.2,0.9.5,2020-12-29T01:56:19.000Z
main,seaweedfs,2.14,,2020-12-29T01:56:19.000Z
main,ingress-nginx,3.18.0,0.42.0,2020-12-29T07:17:16.000Z
main,minio,8.0.9,master,2020-12-29T12:48:49.000Z
main,ingress-nginx,3.19.0,0.43.0,2020-12-30T10:38:45.000Z
main,redis,12.3.0,6.0.9,2020-12-31T12:19:13.000Z
main,gitea,2.1.5,1.13.1,2021-01-01T21:27:24.000Z
main,redis,12.3.1,6.0.9,2021-01-04T09:59:13.000Z
main,seaweedfs,2.14,,2021-01-04T09:59:13.000Z
main,ambassador,6.5.14,1.10.0,2021-01-04T12:21:32.000Z
main,metallb,2.0.3,0.9.5,2021-01-05T01:29:31.000Z
main,redis,12.3.2,6.0.9,2021-01-05T08:43:37.000Z
main,vault,0.9.0,1.6.1,2021-01-05T11:08:06.000Z
main,kubernetes-dashboard,4.0.0,2.1.0,2021-01-07T02:04:02.000Z
main,rancher,2.5.4,v2.5.4,2021-01-07T11:58:11.000Z
main,hazelcast,3.5.2,4.1.1,2021-01-08T04:27:53.000Z
main,redis,12.3.3,6.0.9,2021-01-08T07:58:28.000Z
main,ambassador,6.5.15,1.10.0,2021-01-08T11:55:19.000Z
main,ambassador,6.5.16,1.10.0,2021-01-08T14:25:33.000Z
main,kube-prometheus,3.3.3,0.44.1,2021-01-08T16:03:35.000Z
main,rancher,2.5.5,v2.5.5,2021-01-08T19:14:01.000Z
main,metallb,2.0.4,0.9.5,2021-01-10T01:06:45.000Z
main,seaweedfs,2.14,,2021-01-10T01:06:45.000Z
main,harbor,1.5.3,2.1.3,2021-01-12T02:12:49.000Z
main,redis,12.4.0,6.0.9,2021-01-12T03:10:34.000Z
main,ingress-nginx,3.20.0,0.43.0,2021-01-12T10:16:28.000Z
main,linkerd2-cni,2.9.2,stable-2.9.2,2021-01-13T15:16:24.000Z
main,linkerd2,2.9.2,stable-2.9.2,2021-01-13T15:16:24.000Z
